Date,Open,High,Low,Close,Adj Close,Volume
2017-11-08,4000.19,4027.27,3989.24,4024.74,4024.74,0
2017-11-09,3989.44,3989.51,3925.93,3967.52,3967.52,0
2017-11-10,3961.64,3978.66,3956.28,3977.03,3977.03,0
2017-11-13,3961.83,3986.88,3956.84,3982.52,3982.52,0
2017-11-14,3969.79,3985.2,3955.79,3982.51,3982.51,0
2017-11-15,3965.04,3975.59,3934.74,3958.79,3958.79,0
2017-11-16,3986.61,4042.97,3986.61,4032.72,4032.72,0
2017-11-17,4053.62,4054.09,4026.89,4031.63,4031.63,0
2017-11-20,4035.8,4050.56,4032.48,4044.05,4044.05,0
2017-11-21,4060.8,4084.38,4059.02,4076.66,4076.66,0
2017-11-22,4081.55,4084.09,4065.63,4070.09,4070.09,0
2017-11-24,4076.96,4095.06,4075.73,4094.04,4094.04,0
2017-11-27,4063.74,4068.2,4046.03,4055.65,4055.65,0
2017-11-28,4064.98,4074.12,4045.52,4068.5,4068.5,0
2017-11-29,4041.13,4042.26,3893.05,3920.85,3920.85,0
2017-11-30,3941.9,3961.81,3921.78,3944.61,3944.61,0
2017-12-01,3918.82,3932.47,3838.13,3918.48,3918.48,0
2017-12-04,3940.66,3940.73,3835.62,3847.99,3847.99,0
2017-12-05,3832.76,3905.68,3818.57,3851.13,3851.13,0
2017-12-06,3827.34,3873.56,3817.36,3869.02,3869.02,0
2017-12-07,3883.85,3910.17,3874.69,3902.23,3902.23,0
2017-12-08,3936.26,3946.44,3899.87,3905.58,3905.58,0
2017-12-11,3907.29,3930.17,3906.03,3929.93,3929.93,0
2017-12-12,3918.46,3931.98,3902.8,3912.11,3912.11,0
2017-12-13,3933.59,3946.83,3921.22,3923.26,3923.26,0
2017-12-14,3932.44,3944.08,3917.21,3917.98,3917.98,0
2017-12-15,3922.86,3971.2,3916.53,3965.77,3965.77,0
2017-12-18,4000.52,4013.25,3992.06,4011.95,4011.95,0
2017-12-19,4007.72,4014.87,3984.58,3996.59,3996.59,0
2017-12-20,4025.57,4025.57,3974.99,3998.78,3998.78,0
2017-12-21,4007.97,4014.96,3974.18,3977.4,3977.4,0
2017-12-22,3972.63,3974.01,3957.73,3969.38,3969.38,0
2017-12-26,3939.68,3947.2,3920.96,3943.71,3943.71,0
2017-12-27,3946.29,3964.06,3942.2,3954.74,3954.74,0
2017-12-28,3966.48,3967.93,3946.07,3953.87,3953.87,0
2017-12-29,3956.12,3958.68,3920.96,3920.96,3920.96,0
2018-01-02,3943.1,3995.96,3929.65,3995.96,3995.96,0
2018-01-03,4002.48,4046.44,4000.98,4044.33,4044.33,0
2018-01-04,4064.29,4080.07,4047.06,4071.28,4071.28,0
2018-01-05,4088.35,4108.03,4079.4,4102.37,4102.37,0
2018-01-08,4112.12,4134.66,4099.45,4129.02,4129.02,0
2018-01-09,4131.23,4137.61,4099.28,4112.17,4112.17,0
2018-01-10,4082.38,4096.8,4063.1,4088.35,4088.35,0
2018-01-11,4095.73,4106.93,4085.44,4105.58,4105.58,0
2018-01-12,4108.58,4143.82,4103.32,4136.4,4136.4,0
2018-01-16,4166.6,4185.54,4101.9,4120.13,4120.13,0
2018-01-17,4155.31,4210.77,4145.78,4205.54,4205.54,0
2018-01-18,4195.1,4225.37,4192.64,4213.76,4213.76,0
2018-01-19,4223.4,4229.7,4203.66,4227.68,4227.68,0
2018-01-22,4223.22,4256.15,4207.3,4256.15,4256.15,0
2018-01-23,4262.43,4290.4,4259.62,4288.71,4288.71,0
2018-01-24,4268.63,4289.05,4207.66,4227.63,4227.63,0
2018-01-25,4265.91,4280.36,4187.57,4191.31,4191.31,0
2018-01-26,4228.14,4285.58,4224.36,4285.58,4285.58,0
2018-01-29,4263.43,4283.01,4228.57,4257.24,4257.24,0
2018-01-30,4204.85,4229.64,4190.73,4200.54,4200.54,0
2018-01-31,4229.96,4248.21,4205.8,4227.4,4227.4,0
2018-02-01,4192.79,4245.85,4183.04,4199.29,4199.29,0
2018-02-02,4155.62,4162.56,4090.6,4090.9,4090.9,0
2018-02-05,4049.02,4133.21,3932.49,3932.68,3932.68,0
2018-02-06,3870.22,4043.22,3862.95,4039.87,4039.87,0
2018-02-07,4005.99,4062.49,3969.63,3969.63,3969.63,0
2018-02-08,3969.59,3979.77,3804.54,3804.66,3804.66,0
2018-02-09,3865.09,3916.19,3741.54,3890.26,3890.26,0
2018-02-12,3928.36,3987.05,3906.6,3963.35,3963.35,0
2018-02-13,3937.61,3981.09,3934.02,3974.34,3974.34,0
2018-02-14,3955.99,4066.44,3955.99,4060.25,4060.25,0
2018-02-15,4094.1,4136.86,4044.41,4136.48,4136.48,0
2018-02-16,4125.12,4175.75,4124.66,4131.97,4131.97,0
2018-02-20,4115.39,4203.75,4115.15,4172.78,4172.78,0
2018-02-21,4185.32,4218.35,4141.85,4142.5,4142.5,0
2018-02-22,4163.98,4174.83,4122.62,4131.74,4131.74,0
2018-02-23,4166.16,4217.57,4153.75,4217.35,4217.35,0
2018-02-26,4240.05,4277.86,4230.83,4276.64,4276.64,0
2018-02-27,4277.98,4307.03,4237.21,4237.21,4237.21,0
2018-02-28,4262.45,4281.18,4211.38,4211.38,4211.38,0
2018-03-01,4217.81,4230.94,4114.67,4153.21,4153.21,0
2018-03-02,4104.27,4223.25,4101.48,4216.57,4216.57,0
2018-03-05,4190.1,4286.68,4190.1,4268.17,4268.17,0
2018-03-06,4296.62,4326.15,4284.96,4318.86,4318.86,0
2018-03-07,4299.84,4363.95,4299.84,4358.44,4358.44,0
2018-03-08,4376.07,4385.98,4352.59,4376.47,4376.47,0
2018-03-09,4406.62,4464.4,4406.25,4464.4,4464.4,0
2018-03-12,4484.96,4515.91,4476.65,4496.59,4496.59,0
2018-03-13,4526.38,4544.46,4424.15,4437.8,4437.8,0
2018-03-14,4458.6,4462.19,4411.26,4437.95,4437.95,0
2018-03-15,4449.23,4468.97,4424.16,4442.48,4442.48,0
2018-03-16,4462.05,4472.09,4438.8,4447.24,4447.24,0
2018-03-19,4404.04,4412.64,4308.07,4361.42,4361.42,0
2018-03-20,4365.71,4391.97,4357.7,4377.73,4377.73,0
2018-03-21,4368.82,4427.95,4360.5,4377.21,4377.21,0
2018-03-22,4309.46,4349.71,4256.16,4257.52,4257.52,0
2018-03-23,4247.68,4266.17,4121.87,4121.87,4121.87,0
2018-03-26,4212.33,4275.12,4152.65,4272.84,4272.84,0
2018-03-27,4301.64,4301.64,4103.35,4132.43,4132.43,0
2018-03-28,4120.77,4151.33,4061.5,4077.14,4077.14,0
2018-03-29,4109.89,4190.21,4074.59,4148.76,4148.76,0
2018-04-02,4120.53,4148.93,3988.94,4029.19,4029.19,0
2018-04-03,4068.68,4090.07,4019.17,4080.51,4080.51,0
2018-04-04,3985.65,4149.69,3985.65,4139.38,4139.38,0
2018-04-05,4168.23,4178.62,4093.35,4120.66,4120.66,0
2018-04-06,4066.16,4110.17,3993.94,4012.75,4012.75,0
2018-04-09,4048.5,4135.53,4039.7,4041.74,4041.74,0
2018-04-10,4132.65,4170.5,4099.53,4150.19,4150.19,0
2018-04-11,4120.39,4178.94,4120.23,4141.83,4141.83,0
2018-04-12,4166.3,4214.75,4160.82,4201.58,4201.58,0
2018-04-13,4232.93,4232.93,4153.82,4173.62,4173.62,0
2018-04-16,4197.67,4217.39,4166.99,4198.94,4198.94,0
2018-04-17,4232.65,4294.12,4228.42,4283.04,4283.04,0
2018-04-18,4260.79,4277.52,4225.89,4262.94,4262.94,0
2018-04-19,4209.58,4227.11,4148.97,4160.82,4160.82,0
2018-04-20,4151.07,4159.99,4094.29,4111.99,4111.99,0
2018-04-23,4126.63,4140.13,4065.53,4079.88,4079.88,0
2018-04-24,4124.44,4149.17,4008.87,4039.34,4039.34,0
2018-04-25,4036.79,4045.3,3968.38,4030.06,4030.06,0
2018-04-26,4095.29,4126.26,4078.26,4116.38,4116.38,0
2018-04-27,4152.53,4153.75,4076.86,4100.76,4100.76,0
2018-04-30,4110.65,4128.34,4056.21,4072.93,4072.93,0
2018-05-01,4050.87,4120.43,4043.25,4117.95,4117.95,0
2018-05-02,4113.0,4129.18,4079.57,4091.12,4091.12,0
2018-05-03,4058.7,4121.36,4029.42,4106.78,4106.78,0
